latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.5,10.5,309.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm)
2020-10-07,12.2,9.3,10.4,6.60
2020-10-08,13.5,7.7,10.5,5.20
2020-10-09,13.2,9.5,11.2,4.10
2020-10-10,11.2,6.7,9.2,0.50
2020-10-11,11.0,5.5,7.7,1.10
2020-10-12,10.9,5.4,7.8,0.40
2020-10-13,10.9,3.7,7.2,1.10
2020-10-14,7.1,6.5,6.8,12.10
2020-10-15,8.6,6.7,7.4,1.00
2020-10-16,9.1,7.0,7.9,0.70
2020-10-17,8.6,5.4,6.9,0.50
2020-10-18,9.6,4.3,6.8,0.50
2020-10-19,11.0,4.4,8.2,0.40
2020-10-20,13.8,3.3,8.0,2.00
2020-10-21,16.9,9.7,12.9,1.40
2020-10-22,17.5,12.1,15.0,0.00
2020-10-23,14.2,11.0,13.0,4.90
2020-10-24,14.1,9.8,12.0,0.10
2020-10-25,15.0,9.8,12.3,0.50
2020-10-26,11.3,7.7,9.4,8.40
2020-10-27,10.2,6.1,8.0,0.10
2020-10-28,12.1,7.9,9.6,1.00
2020-10-29,10.2,7.5,8.8,4.70
2020-10-30,11.9,7.9,10.8,13.00
2020-10-31,14.1,9.5,11.7,0.20
2020-11-01,14.0,9.5,12.0,1.00
2020-11-02,17.8,13.9,15.9,5.90
2020-11-03,14.6,7.9,10.0,1.60
2020-11-04,9.3,3.6,6.5,0.00
2020-11-05,8.1,0.4,4.3,0.00
2020-11-06,8.6,2.7,5.6,0.00
2020-11-07,10.9,0.0,4.8,0.00
2020-11-08,11.8,2.8,6.6,0.00
2020-11-09,10.6,1.7,5.5,0.00
2020-11-10,6.5,0.7,3.1,0.00
2020-11-11,8.4,3.7,6.4,0.00
2020-11-12,9.5,4.7,6.9,0.00
2020-11-13,9.7,2.6,6.6,0.20
2020-11-14,12.9,8.1,9.9,0.30
2020-11-15,13.2,7.5,9.8,0.10
2020-11-16,10.3,7.7,9.1,1.90
2020-11-17,9.1,7.6,8.4,0.80
2020-11-18,10.6,7.5,8.6,0.00
2020-11-19,9.5,3.7,7.7,1.70
2020-11-20,4.5,0.1,2.4,1.10
2020-11-21,3.7,-2.8,1.1,0.00
2020-11-22,6.7,3.4,5.1,0.40
2020-11-23,6.9,0.5,4.9,0.20
2020-11-24,6.0,-1.4,2.5,0.00
2020-11-25,6.5,0.2,2.7,0.00
2020-11-26,5.6,-1.0,2.5,0.00
2020-11-27,6.1,-0.0,2.8,0.00
2020-11-28,2.8,-2.2,0.3,0.00
2020-11-29,1.9,-0.8,0.1,0.00
2020-11-30,0.5,-3.0,-1.0,0.30
2020-12-01,1.0,-1.0,0.2,3.10
2020-12-02,0.4,-2.0,-0.8,0.00
2020-12-03,0.8,-1.3,-0.6,0.00
2020-12-04,3.4,-1.3,0.6,0.00
2020-12-05,2.9,-1.6,0.2,1.00
2020-12-06,3.9,0.1,2.1,1.80
2020-12-07,3.7,1.3,2.8,0.60
2020-12-08,4.5,-1.3,1.3,0.00
2020-12-09,1.6,-1.7,0.2,0.50
2020-12-10,2.4,0.4,1.3,1.40
2020-12-11,2.1,-0.4,0.8,0.00
2020-12-12,3.0,0.2,1.6,1.90
2020-12-13,5.4,1.8,3.8,0.70
2020-12-14,6.3,1.7,3.8,0.00
2020-12-15,7.2,1.8,4.6,2.50
2020-12-16,8.7,5.1,6.8,0.00
2020-12-17,7.4,3.1,4.9,0.10
2020-12-18,7.3,1.8,4.1,0.00
2020-12-19,6.7,-0.2,2.5,0.00
2020-12-20,5.5,1.5,3.2,2.30
2020-12-21,6.6,3.4,4.9,2.90
2020-12-22,11.3,5.7,9.2,13.50
2020-12-23,9.9,6.7,8.7,11.60
2020-12-24,9.7,2.4,5.0,2.20
2020-12-25,2.6,-3.3,0.4,0.00
2020-12-26,1.5,-4.2,-0.6,0.00
2020-12-27,1.5,-0.4,0.4,0.50
